标题,户型,户型1,房屋面积,楼层,小区,租赁类型,朝向,轨道交通,租金,地区
租客十一前搬走 这两天随时可看 精装电梯双南两房一厅 诚心出,2室,1厅,78平米,11/25层,临沂大楼,整租,朝南,6/7号线,5200,pudong安居客
蓝村路 峨海小区 4室厅2卫 南,4室,0厅,17平米,5/15层,峨海小区,合租,朝南,4/6号线,3290,pudong安居客
融都金桥园 近地铁 近金桥国际 商品房 精装修 诚心出售,2室,2厅,110平米,3/11层,融都金桥园,整租,朝南,6/9号线,6500,pudong安居客
浦东杨思、世华锦城、南北通透大三房、近8号线杨思站、有钥匙,3室,2厅,98平米,10/17层,世华锦城,整租,南北,8号线,6800,pudong安居客
地铁七八号双线耀华站居家装修一房，世博园景观房，配套全诚心租,1室,1厅,34平米,4/6层,上南一村,整租,朝南,6/7/8/13号线,3400,pudong安居客
"陆家嘴出小区东昌站,房子装修温馨如家,房东诚心 八佰伴圈",1室,1厅,45平米,3/6层,梅园三街坊,整租,朝南,2/4/6/9号线,3200,pudong安居客
上海儿童医学中心 东方城市花园二期 5室厅2卫 东南,5室,0厅,15平米,1/1层,东方城市花园(二期),合租,东南,6/7号线,3090,pudong安居客
广兰路 樟盛苑 3室厅2卫 南,3室,0厅,16平米,3/8层,樟盛苑,合租,朝南,2号线,2560,pudong安居客
联洋年华 精装两房 拎包入住 杨高中路站,2室,2厅,117平米,7/24层,联洋年华,整租,朝南,2/9号线,6000,pudong安居客
地铁九号线沿线近五十米 品质小区 随时看房拎包入住,3室,2厅,110平米,8/16层,金海华城永华苑,整租,南北,9号线,5200,pudong安居客
杨高中路 绿地泾南公寓 4室厅2卫 西北,4室,0厅,8平米,1/4层,绿地泾南公寓,合租,西北,2/6/9号线,2490,pudong安居客
居住新体验无中介卧室飘窗阳台厨房卫生间，随时随地带你看房,1室,1厅,28平米,8/25层,东昌小区,整租,东南,2/4/9号线,2230,pudong安居客
民乐苑 精装一房 稀.缺电梯房六楼 可长签 拎包入住,1室,2厅,65平米,6/14层,民乐苑,整租,朝南,11号线,3900,pudong安居客
本人确保价格+照片+视频真实有效！看房有钥匙！南北花园，,5室,2厅,227平米,1/3层,康桥半岛,整租,南北,无,14000,pudong安居客
刚出来的精装双南两房 首茨出租 家具齐全 随时入住 有钥匙！,2室,1厅,50平米,3/6层,金杨新村四街坊,整租,南北,6/9号线,4400,pudong安居客
世纪大道2室6800元好房出租，居住舒适，干净整洁，随时入住,2室,1厅,65平米,12/25层,东欣小区,整租,朝南,2/4/6/9号线,6800,pudong安居客
带花园会所露台 *全配 可短租一个月两个月 可开票,2室,1厅,60平米,11/14层,陆家嘴公馆,整租,朝东,6/9号线,6800,pudong安居客
低于同户型5000+高层+浅色系简约风 家具可调配可全配,4室,2厅,240平米,10/16层,星河湾,整租,南北,7号线,35000,pudong安居客
可押一付一 香山东南街坊 近6号线地铁 随时看房可办居住证,2室,1厅,77平米,3/6层,香山新村东南街坊,整租,朝南,6/9号线,4366,pudong安居客
哥白尼路 紫晶苑 3室厅2卫 北,3室,0厅,9平米,2/7层,紫晶苑,合租,朝北,无,1630,pudong安居客
本人确保价格照片真实！2层独栋，门口可以停2辆车，有钥匙,4室,2厅,203平米,1/3层,康桥名郡,整租,南北,无,14000,pudong安居客
塘桥精装全配，生活便利，多房源可供挑选，随时带看,3室,1厅,17平米,16/22层,新都花园,整租,东南,2/4/6号线,1160,pudong安居客
入住减1400元 上安大厦 豪装两房  拎包入住 价格可谈,2室,2厅,100平米,15/22层,上安大厦,整租,南北,无,7000,pudong安居客
上南一村 温馨装修一居室 出门地铁78号线 紧邻世博园中国馆,1室,1厅,40平米,3/6层,上南一村,整租,朝南,6/7/8/13号线,3000,pudong安居客
13号线年底开通+温馨舒适精装修看房随时拎包入住采光好!,2室,1厅,60平米,3/6层,紫晶苑,整租,南北,无,3800,pudong安居客
15街区、珐朵公馆、精装出租7500元、配置齐全、拎包入住,2室,2厅,77平米,0/18层,大华锦绣华城九街区,整租,南北,7号线,7500,pudong安居客
地铁九号线步行1.8公里 房东自住装修 随时拎包看房入住,2室,1厅,80平米,8/16层,中虹家园,整租,朝南,无,3500,pudong安居客
云山路 金樟花苑 3室厅2卫 北,3室,0厅,11平米,5/11层,金樟花苑,合租,朝北,6号线,2130,pudong安居客
新出精装1房 性价比超高 温馨舒适 价格真实 你还在等什么,1室,1厅,44平米,6/6层,栖山小区,整租,朝南,6号线,3300,pudong安居客
12号线杨高北路站 精装修 全新全配 可办居住证 随时看房,1室,1厅,45平米,3/6层,巨峰家苑,整租,南北,6/12号线,3500,pudong安居客
双气房 朝南户型 采光 好 精装修 家具家电齐全 拎包入住,3室,1厅,18平米,10/25层,乳山二村,整租,东南,2/4/6/9号线,1870,pudong安居客
"康桥半岛别墅五期+精装大别墅,看房方便,业主自住精装居家装修",4室,3厅,225平米,1/3层,康桥半岛,整租,南北,无,13000,pudong安居客
御桥 和合新村西区 3室厅2卫 南,3室,0厅,16平米,4/4层,和合新村(西区),合租,朝南,11号线,2190,pudong安居客
九龙仓壹十八 豪华装修地暖 头次出租 新房诚意出租有钥匙,4室,2厅,236平米,17/19层,九龙仓滨江壹十八,整租,南北,4/6号线,35000,pudong安居客
百米万嘉沃尔玛.3房价格不贵.诚租家人和同事.有钥匙迎亭公寓,3室,2厅,100平米,5/6层,迎亭公寓,整租,南北,无,4500,pudong安居客
曹路民风住蛋壳 豪华装修近地铁 出入无需带钥匙,3室,1厅,20平米,12/33层,民风小区,整租,东南,9号线,1850,pudong安居客
楼下就是大商场，小区出门就是地铁口，不选择蛋壳，我怕你后悔哦,3室,1厅,19平米,21/31层,银丰苑,合租,东南,9号线,1350,pudong安居客
新出好房，星纪元边套，两个房间都有窗户，到地铁站走路5,2室,2厅,95平米,8/11层,星纪元,整租,南北,2号线,4800,pudong安居客
蛋壳公寓 让生存变成生活 全新配置  一人一锁,1室,1厅,29平米,8/22层,潍坊二村,整租,东南,4/6号线,2520,pudong安居客
蛋壳公寓 超享受！全新配置  一人一锁 安全巡查,3室,1厅,16平米,13/26层,陆家嘴美丽苑,合租,东南,6/9号线,1370,pudong安居客
降价600 东方知音苑 近地铁6号金桥站 可随时看房有钥匙,3室,2厅,110平米,6/11层,东方知音苑,整租,南北,6号线,8000,pudong安居客
万科希缺带花园小复式|江景房的小复式|前租户违约，先继续出租,5室,4厅,259平米,1/6层,万科翡翠滨江(二期),整租,朝南,无,33000,pudong安居客
世博上南二村精致装修，家电全配，交通便利适合白领入住,3室,1厅,48平米,11/31层,上南二村,整租,朝南,7/8/13号线,3170,pudong安居客
金桥坐公交 转地铁？不 ！住蛋壳，分就让你到地铁口,1室,1厅,29平米,20/30层,阳光欧洲城一期,整租,东南,9/12号线,2830,pudong安居客
联洋仁恒河滨城，精装大三房+地暖+车位+配置齐全+近地铁,3室,2厅,171平米,20/26层,仁恒河滨城(一期),整租,南北,9号线,18000,pudong安居客
房主诚意出租，高区精装大两房 全屋地暖有钥匙 看房方便,2室,2厅,83平米,7/18层,陆家嘴中央公寓,整租,南北,2/4号线,11000,pudong安居客
金群苑南区 精装修南北通透 好楼层 好朝向  拎包即住,2室,1厅,79平米,9/18层,金群苑(南区),整租,南北,无,3380,pudong安居客
可办公也居住多人 近世纪大道八佰伴，钥匙在手，随时看拎包入住,2室,1厅,110平米,8/32层,环球广场,整租,朝南,6号线,6300,pudong安居客
朝南大次卧大阳台带电梯  阳光充足 干净卫生 免费看房,3室,1厅,15平米,7/24层,金色碧云,整租,东南,9号线,1720,pudong安居客
三房两室，交通方便，精装修，拎包入住，业主诚意出租,3室,2厅,113平米,11/13层,绿地康桥新苑,整租,朝南,无,4500,pudong安居客
金杨四街坊靠6号线云山路+精装全配+房东自住+直降300,1室,1厅,56平米,3/6层,金杨新村四街坊,整租,朝南,6/9号线,3900,pudong安居客
整租，金桥酒店公寓，精装一房，配置齐全，空关，随时看房九号线,1室,1厅,53平米,9/19层,金桥酒店公寓,整租,朝南,9号线,4500,pudong安居客
品质小区，繁华地段，交通便利，高区景观房，价格可谈费用可谈,3室,2厅,131平米,15/24层,旭辉雅苑,整租,南北,6号线,12000,pudong安居客
闹中取静 双南户型 小房子也有大风景 经典单身公寓,3室,1厅,18平米,14/27层,潼港四村东兴苑,合租,东南,6号线,1310,pudong安居客
唐镇 鑫唐佳苑 3室厅2卫 北,3室,0厅,13平米,5/10层,鑫唐佳苑,合租,朝北,2号线,1990,pudong安居客
近小上海步行街 大房东 原始两房 全配急租 随时看房,2室,2厅,86平米,4/6层,龙泽家园(二期),整租,朝南,无,3700,pudong安居客
蛋壳公寓 颜控福利 伴随着阳光起床 做精致女孩！,3室,1厅,17平米,17/27层,蔚蓝海岸天科苑,合租,东南,6号线,1340,pudong安居客
世纪公园 六街坊小区 3室厅2卫 南,3室,0厅,14平米,4/6层,六街坊小区,合租,朝南,2/7/16/磁悬浮号线,3090,pudong安居客
播送一条通知 因您颜值太高，所以蛋壳公寓以价给你出租房屋,3室,1厅,16平米,22/23层,同科公寓,合租,东南,4号线,1190,pudong安居客
名嘉新苑 中高端商品住房，臻实在租 本人现象拍摄，不存在虚假,3室,2厅,125平米,7/12层,名嘉新苑,整租,南北,11号线,7800,pudong安居客
东苑新天地南区 精装两房家电齐全 周边生活配套成熟 拎包入住,2室,2厅,98平米,10/24层,东苑新天地(南区),整租,朝南,12号线,5800,minhang安居客
静安新城九歌上郡小清新单间，整洁舒适家具齐全，离地铁站很近,3室,1厅,16平米,4/26层,九歌上郡,整租,东南,9号线,1250,minhang安居客
春申景城二期 豪装俩房 环境佳 采光足 带车位 随时看房,2室,2厅,110平米,12/17层,春申景城湖畔林语,整租,南北,无,4800,minhang安居客
高兴花园新出一房 干净清爽 看房有钥匙 随时看房 拎包入住！,1室,1厅,52平米,3/6层,高兴花园二/三/四街坊,整租,朝南,1号线,2700,minhang安居客
静安新城天安豪园精装修 欧洲现代风格 拎包入住,3室,1厅,20平米,10/30层,天安豪园,整租,东南,9/10号线,1450,minhang安居客
近西子国际、绿梅二村居家全配大一房，居家自住，拎包入住,1室,1厅,45平米,3/6层,绿梅二村,整租,南北,无,3000,minhang安居客
做莘庄樶真实的房源！做莘庄樶实在的经纪人 图片絶对实图拍摄,3室,2厅,15平米,3/6层,江南苑,合租,朝南,1/5号线,1280,minhang安居客
地铁12号线顾戴路地铁站 采光好 南北通透 电梯房 交通便利,3室,2厅,145平米,10/16层,万源城朗郡,整租,朝南,12号线,10000,minhang安居客
推：10号地铁沿线，精装大两房，中间楼层，居家首租，随时看。,2室,2厅,106平米,1/10层,龙柏四季花园,整租,南北,10号线,9000,minhang安居客
诚信置尚丨锦绣虹泉路，耕读韩国街丨大面积两房，豪华装修,2室,2厅,120平米,1/13层,明泉旖和园(公寓),整租,朝南,9/10号线,12500,minhang安居客
东兰雅苑 复式三房 近12号线东兰路+全装全配+现代化装修,3室,2厅,125平米,3/6层,东兰雅苑,整租,南北,9/12号线,7200,minhang安居客
居住是家的感觉  地铁12号线，近协和双语 实验西校！！,3室,2厅,142平米,12/16层,万源城朗郡,整租,南北,12号线,13000,minhang安居客
君临天下新出笋盘，业主自住，精装四房全陪，小区中心位置随时看,4室,2厅,203平米,1/3层,君临天下花园(别墅),整租,朝南,5号线,10000,minhang安居客
古北恒盛苑豪装大3房，出租，房子还带大约30平的露台，近地铁,3室,2厅,140平米,3/17层,古北恒盛苑,整租,南北,10号线,15000,minhang安居客
剑桥景苑，2.2万，大独栋，大花园，装修好，停车方便，可办公,5室,3厅,350平米,1/3层,剑桥景苑,整租,南北,5号线,22000,minhang安居客
"三洲花园婚房两年,配置齐全,温馨舒适,全明户型钥匙房 随时看",2室,1厅,56平米,9/18层,罗阳七村华宝小区,整租,南北,1号线,4000,minhang安居客
靠近地铁居家自住大两房，空关，随时钥匙看房，次新小区，空关,2室,2厅,98平米,6/6层,景丽苑,整租,南北,10号线,5500,minhang安居客
毕业季特价房 带阳台单间 户数少 可月付  做饭 划算呀,1室,0厅,18平米,6/12层,新梅莘苑,合租,朝南,1/5号线,1000,minhang安居客
高品质小区+紧邻莲花路站+近南方商城+可做四房使用+精装全配,3室,2厅,147平米,3/12层,望族苑,整租,朝南,1号线,8500,minhang安居客
